id,state_id,state,region_id,region,district_id,district,area_id,cluster_id,name,population_full,host_population,idp_population,residency_type_id,idp_settlement,vulnerability_score,program_intensity_id,overlaps_prev_brcis,comment,latitude,longitude,altitude,accuracy,active,created_at,updated_at,deleted_at,community_livelihood_id,community_type_id
1,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Qansaxley,330,330,300,1,0,35,1,0,,5.962461834,46.89108149,231.6000061,5,1,NULL,NULL,NULL,1,1
2,2,Galmudug,4,Galguduud,1,Adaado,1,1,Bakin,4337,4337,3870,3,0,19,2,0,,6.142348498,46.62717467,278.2000122,5,1,NULL,NULL,NULL,2,2
3,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Docoley,630,630,630,1,0,27,2,0,,6.132845073,46.96663135,239.3004655,4,1,NULL,NULL,NULL,1,1
4,2,Galmudug,4,Galguduud,1,Adaado,1,1,Galbed,2910,2910,2508,3,0,20.33,2,1,,6.134258034,46.62507769,278.5,5,1,NULL,NULL,NULL,2,2
5,2,Galmudug,4,Galguduud,1,Adaado,1,1,Gidheys,970,970,850,1,0,27,2,0,,6.018619607,46.6823642,250.7202435,4,1,NULL,NULL,NULL,1,1
6,2,Galmudug,4,Galguduud,1,Adaado,1,1,Karama,1960,1960,1573,3,0,19,2,0,,6.140738167,46.62367229,271.1000061,4,1,NULL,NULL,NULL,2,2
7,2,Galmudug,4,Galguduud,1,Adaado,1,1,Waberi,7424,7424,6854,3,0,19.67,2,0,,6.12826183,46.63090764,265.2000122,5,1,NULL,NULL,NULL,2,2
8,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Horseed,680,680,607,3,NULL,20,1,0,,5.880905287,46.63158305,235,5,1,NULL,NULL,NULL,2,2
9,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Bowdadhogore,300,300,300,1,0,31,2,0,,5.963583332,46.46328558,333,27,1,NULL,NULL,NULL,1,1
10,2,Galmudug,4,Galguduud,1,Adaado,1,55,Dhagax Dheer,630,630,630,1,0,35,2,0,,5.85458,46.81313167,224.9,4.9,1,NULL,NULL,NULL,1,1
11,2,Galmudug,4,Galguduud,1,Adaado,1,55,Mubarak,450,450,378,3,0,26,2,0,,5.878022751,46.63352589,247,5,1,NULL,NULL,NULL,2,2
12,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Koongo,470,470,417,3,0,32,2,0,,5.877295327,46.632394,256,5,1,NULL,NULL,NULL,2,2
13,2,Galmudug,4,Galguduud,1,Adaado,1,55,Fadalaweyn,250,250,320,1,0,32,2,0,,5.912618302,46.51775789,262,23,1,NULL,NULL,NULL,1,1
14,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Ardo,446,446,446,1,0,21,1,0,,5.852574706,46.96403582,204,8,1,NULL,NULL,NULL,1,1
15,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Bendharte,270,270,200,1,0,37,1,0,,6.356596313,46.68874034,292,5,1,NULL,NULL,NULL,1,1
16,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Biyagaduud,1550,1550,1200,1,0,22,1,0,,6.31196098,46.5794018,299.5720202,4,1,NULL,NULL,NULL,1,1
17,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Cadakibir,522,522,465,2,NULL,25,1,0,,5.725865937,46.95920466,190,5,1,NULL,NULL,NULL,2,2
18,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Carmooleey,135,135,135,1,0,20,1,0,,5.895081097,46.92527957,197,5,1,NULL,NULL,NULL,1,1
19,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Dayax,560,560,473,3,NULL,20,1,0,,5.87404449,46.6317128,225,5,1,NULL,NULL,NULL,2,2
20,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Dhumodle,170,170,110,1,0,35.67,1,0,,6.063617533,46.45301716,285.1000061,5,1,NULL,NULL,NULL,1,1
21,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Gaalyeel Village,286,286,286,1,0,23,1,0,,5.819601667,46.704975,264.8,4.2,1,NULL,NULL,NULL,1,1
22,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Idole,425,425,415,1,0,34.33,1,0,,6.171107143,46.84946509,268.2999878,5,1,NULL,NULL,NULL,1,1
23,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Keen,450,450,300,1,0,30,1,0,,5.967476307,46.72243483,230.1999969,5,1,NULL,NULL,NULL,1,1
24,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Shillanwayne,165,165,165,1,0,22,1,0,,5.77067995,46.91695425,206,5,1,NULL,NULL,NULL,1,1
25,2,Galmudug,4,Galguduud,1,Adaado,NULL,NULL,Xanjobarde,150,150,120,1,0,35.33,1,0,,6.0164933,46.84815324,230.8000031,5,1,NULL,NULL,NULL,1,1
26,7,South West,7,Lower Shabelle,3,Afgoye,2,75,Jazeera,908,908,908,3,0,23,2,0,,1.950429766,45.18035811,-31.54368205,4,1,NULL,NULL,NULL,3,2
27,7,South West,7,Lower Shabelle,3,Afgoye,2,75,Ceel Huur,400,400,400,3,0,31,2,0,,1.973059983,45.21897328,-25,5,1,NULL,NULL,NULL,2,2
28,7,South West,7,Lower Shabelle,3,Afgoye,2,75,Buulo Calooleey,220,220,220,3,0,29,2,0,,1.964542544,45.19769087,-30,5,1,NULL,NULL,NULL,2,2
29,7,South West,7,Lower Shabelle,3,Afgoye,2,50,Elasha,790,790,640,3,0,22,2,0,,2.082261235,45.20974794,114.8824724,4,1,NULL,NULL,NULL,2,2
30,7,South West,7,Lower Shabelle,3,Afgoye,2,50,Qoorsuul,900,900,880,3,0,21,2,0,,2.094755913,45.20553416,102,11,1,NULL,NULL,NULL,2,2
31,7,South West,7,Lower Shabelle,3,Afgoye,2,50,Jabad Gelle,500,500,485,3,0,23,2,0,,2.095228191,45.2075231,101,6,1,NULL,NULL,NULL,2,2
32,7,South West,7,Lower Shabelle,3,Afgoye,5,60,Warmahan Afgoyeside,600,600,540,3,0,17.33,2,0,,2.399507076,45.02196369,41,5,1,NULL,NULL,NULL,4,2
33,7,South West,7,Lower Shabelle,3,Afgoye,NULL,NULL,Gurdaan,515,515,490,1,0,30,2,0,,2.375067668,45.02505602,51,5,1,NULL,NULL,NULL,4,1
34,7,South West,7,Lower Shabelle,3,Afgoye,5,60,Tixsiile,510,510,477,1,0,39.33,2,0,,2.321313433,45.06077592,51,5,1,NULL,NULL,NULL,4,1
35,7,South West,7,Lower Shabelle,3,Afgoye,5,60,Waayeel Diinle,250,250,230,1,0,36,2,0,,2.388105006,45.02620133,53,5,1,NULL,NULL,NULL,4,1
36,7,South West,7,Lower Shabelle,3,Afgoye,5,60,Wala Daye,215,215,203,1,0,36,2,0,,2.364300652,45.01225577,47,5,1,NULL,NULL,NULL,4,1
37,7,South West,7,Lower Shabelle,3,Afgoye,5,60,Wargobleey,220,220,208,1,0,35.33,2,0,,2.367379158,45.00819708,46,5,1,NULL,NULL,NULL,4,1
38,7,South West,7,Lower Shabelle,3,Afgoye,2,75,Abaay Dhaxan,200,200,200,3,0,25.3,2,0,,1.958950432,45.19302593,-32,5,1,NULL,NULL,NULL,3,2
